project_id,field_name,field_value,source_url,evidence_type,evidence_snippet,asset_path_or_pdf_page,captured_date,parser_confidence,overwrite_flag,notes
promenade_new_cairo,brochure_urls_json,"[""https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf""]",https://wadidegladevelopments.com/projects/promnade-new-cairo/,dom,PDF links found on page: https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,,2026-02-22,,,
promenade_new_cairo,confidence_score,0.60,https://wadidegladevelopments.com/projects/promnade-new-cairo/,dom,Confidence scored per scoring rubric,,2026-02-22,,,
promenade_new_cairo,price_status,on_request,https://wadidegladevelopments.com/projects/promnade-new-cairo/,dom,No numeric pricing found on page; on_request or null applied,,2026-02-22,,,
blumar_el_sokhna,official_project_url,https://wadidegladevelopments.com/projects/blumarelsokhna/,https://wadidegladevelopments.com/projects/blumarelsokhna/,dom,Crawled https://wadidegladevelopments.com/projects/blumarelsokhna/; card or page URL captured,,2026-02-22,,,
blumar_el_sokhna,region,Ain Sokhna,https://wadidegladevelopments.com/projects/blumarelsokhna/,dom,Location text extracted from page: Ain Sokhna | Suez Road,,2026-02-22,,,
blumar_el_sokhna,city_area,Suez Road,https://wadidegladevelopments.com/projects/blumarelsokhna/,dom,Location text: Suez Road,,2026-02-22,,,
blumar_el_sokhna,project_type,resort,https://wadidegladevelopments.com/projects/blumarelsokhna/,dom,Project type determined from page content: resort,,2026-02-22,,,
blumar_el_sokhna,project_status,delivered,https://wadidegladevelopments.com/projects/blumarelsokhna/,dom,Status from page/index: delivered,,2026-02-22,,,
blumar_el_sokhna,current_sales_status,not_selling,https://wadidegladevelopments.com/projects/blumarelsokhna/,dom,Sales status: not_selling; index card checked,,2026-02-22,,,
blumar_el_sokhna,developer_inventory_status,sold_out,https://wadidegladevelopments.com/projects/blumarelsokhna/,dom,Sold-out label on /projects/ index card,,2026-02-22,,,
blumar_el_sokhna,key_amenities_json,"[""Swimming Pools"", ""Green Areas"", ""Restaurants"", ""Supermarket""]",https://wadidegladevelopments.com/projects/blumarelsokhna/,dom,"Amenities from DOM: Swimming Pools, Green Areas, Restaurants, Supermarket",,2026-02-22,,,
blumar_el_sokhna,beach_access_flag,true,https://wadidegladevelopments.com/projects/blumarelsokhna/,dom,beach_access_flag=true from amenities/DOM,,2026-02-22,,,
blumar_el_sokhna,pools_flag,true,https://wadidegladevelopments.com/projects/blumarelsokhna/,dom,pools_flag=true from amenities/DOM,,2026-02-22,,,
blumar_el_sokhna,gym_flag,false,https://wadidegladevelopments.com/projects/blumarelsokhna/,dom,gym_flag=false from amenities/DOM,,2026-02-22,,,
blumar_el_sokhna,golf_flag,false,https://wadidegladevelopments.com/projects/blumarelsokhna/,dom,golf_flag=false from amenities/DOM,,2026-02-22,,,
blumar_el_sokhna,brochure_urls_json,"[""https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf""]",https://wadidegladevelopments.com/projects/blumarelsokhna/,dom,PDF links found on page: https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,,2026-02-22,,,
blumar_el_sokhna,confidence_score,0.50,https://wadidegladevelopments.com/projects/blumarelsokhna/,dom,Confidence scored per scoring rubric,,2026-02-22,,,
blumar_hills,official_project_url,https://wadidegladevelopments.com/projects/blumar-hills/,https://wadidegladevelopments.com/projects/blumar-hills/,dom,Crawled https://wadidegladevelopments.com/projects/blumar-hills/; card or page URL captured,,2026-02-22,,,
blumar_hills,region,Ain Sokhna,https://wadidegladevelopments.com/projects/blumar-hills/,dom,Location text extracted from page: Ain Sokhna | Zaafarana Road,,2026-02-22,,,
blumar_hills,city_area,Zaafarana Road,https://wadidegladevelopments.com/projects/blumar-hills/,dom,Location text: Zaafarana Road,,2026-02-22,,,
blumar_hills,project_type,resort,https://wadidegladevelopments.com/projects/blumar-hills/,dom,Project type determined from page content: resort,,2026-02-22,,,
blumar_hills,project_status,delivered,https://wadidegladevelopments.com/projects/blumar-hills/,dom,Status from page/index: delivered,,2026-02-22,,,
blumar_hills,current_sales_status,not_selling,https://wadidegladevelopments.com/projects/blumar-hills/,dom,Sales status: not_selling; index card checked,,2026-02-22,,,
blumar_hills,developer_inventory_status,sold_out,https://wadidegladevelopments.com/projects/blumar-hills/,dom,Sold-out label on /projects/ index card,,2026-02-22,,,
blumar_hills,unit_types_offered_json,"[""Chalets""]",https://wadidegladevelopments.com/projects/blumar-hills/,dom,Unit types from DOM: Chalets,,2026-02-22,,,
blumar_hills,key_amenities_json,"[""Swimming Pools""]",https://wadidegladevelopments.com/projects/blumar-hills/,dom,Amenities from DOM: Swimming Pools,,2026-02-22,,,
blumar_hills,beach_access_flag,true,https://wadidegladevelopments.com/projects/blumar-hills/,dom,beach_access_flag=true from amenities/DOM,,2026-02-22,,,
blumar_hills,pools_flag,true,https://wadidegladevelopments.com/projects/blumar-hills/,dom,pools_flag=true from amenities/DOM,,2026-02-22,,,
blumar_hills,gym_flag,false,https://wadidegladevelopments.com/projects/blumar-hills/,dom,gym_flag=false from amenities/DOM,,2026-02-22,,,
