timestamp,request_id,session_id,endpoint,intent,kb_version_hash,keyword_hits,vector_hits,blended_hits,top_entities_json,model,tokens_in,tokens_out,latency_ms,status,error_reason,cost_estimate_usd,message_hash
2026-03-03T11:20:43.144597+00:00,4bd74da3,sess_mmaikuu4if6mp,/api/chat/stream,lead_capture,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""clubtown"", ""murano"", ""promenade_new_cairo""]",gpt-4o-mini,0,0,5889,ok,,0.0,f53c2148e92425ff
2026-03-03T11:21:16.448848+00:00,e60ab219,sess_mmaikuu4if6mp,/api/chat/stream,info_query,dcb4d66a6b47,6,26,26,"[""tijan_maadi"", ""edge"", ""horizon"", ""breeze""]",gpt-4o-mini,0,0,6470,ok,,0.0,18b07b262db5e51c
2026-03-03T11:21:50.262074+00:00,3018ec94,sess_mmaikuu4if6mp,/api/chat/stream,info_query,dcb4d66a6b47,0,26,26,"[""murano"", ""living_community"", ""clubtown"", ""vyon""]",gpt-4o-mini,0,0,5395,ok,,0.0,a3282746b97a3cb4
2026-03-03T11:22:53.176193+00:00,81f59b2c,sess_mmaikuu4if6mp,/api/chat/stream,info_query,dcb4d66a6b47,16,26,26,"[""promenade_new_cairo"", ""river_walk"", ""canal_residence"", ""breeze""]",gpt-4o-mini,0,0,6232,ok,,0.0,62af713f580cae7e
2026-03-03T11:23:32.124593+00:00,478dac65,sess_mmaikuu4if6mp,/api/chat/stream,pricing,dcb4d66a6b47,0,18,18,"[""clubtown"", ""breeze"", ""horizon"", ""edge""]",gpt-4o-mini,0,0,7975,ok,,0.0,1947d579af450689
2026-03-03T11:23:59.305280+00:00,2f713178,sess_mmaikuu4if6mp,/api/chat/stream,info_query,dcb4d66a6b47,0,18,18,"[""clubtown"", ""promenade_new_cairo"", ""breeze"", ""vyon""]",gpt-4o-mini,0,0,5640,ok,,0.0,f8b5df4b5a472400
2026-03-03T11:24:44.894295+00:00,b7efd7da,sess_mmaikuu4if6mp,/api/chat/stream,info_query,dcb4d66a6b47,2,26,26,"[""murano"", ""living_community"", ""neo_lakes"", ""clubtown""]",gpt-4o-mini,0,0,5070,ok,,0.0,247610f4dedd4ab7
2026-03-03T11:36:37.679489+00:00,b9a51df0,sess_mmaizx0l11er7,/api/chat/stream,greeting,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""murano"", ""clubtown"", ""promenade_new_cairo""]",gpt-4o-mini,0,0,2338,ok,,0.0,185f8db32271fe25
2026-03-03T11:38:22.463754+00:00,02b7644a,sess_mmaizx0l11er7,/api/chat/stream,info_query,dcb4d66a6b47,2,26,26,"[""murano"", ""living_community"", ""neo_lakes"", ""clubtown""]",gpt-4o-mini,0,0,7029,ok,,0.0,247610f4dedd4ab7
2026-03-03T11:59:58.271713+00:00,4fdb3648,sess_mmak2dok0z33z,/api/chat/stream,greeting,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""clubtown"", ""horizon"", ""murano""]",gpt-4o-mini,0,0,5212,ok,,0.0,8f434346648f6b96
2026-03-03T12:00:11.410893+00:00,01838aef,sess_mmak2dok0z33z,/api/chat/stream,info_query,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""clubtown"", ""horizon"", ""ojo""]",gpt-4o-mini,0,0,5306,ok,,0.0,cc1e241efcaac33d
2026-03-03T12:02:26.497031+00:00,7ef9079f,sess_mmak2dok0z33z,/api/chat/stream,info_query,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""clubtown"", ""murano"", ""promenade_new_cairo""]",gpt-4o-mini,0,0,9396,ok,,0.0,283f559703dc7c37
2026-03-03T12:02:58.195565+00:00,1ae8b5b1,sess_mmak2dok0z33z,/api/chat/stream,shortlist,dcb4d66a6b47,0,26,26,"[""clubtown"", ""neo_lakes"", ""breeze"", ""vyon""]",gpt-4o-mini,0,0,9338,ok,,0.0,bb7e784fedfec3ca
2026-03-03T12:03:27.352747+00:00,a06e4096,sess_mmak2dok0z33z,/api/chat/stream,info_query,dcb4d66a6b47,0,18,18,"[""neo"", ""neo_lakes"", ""neo_gardens"", ""neopolis""]",gpt-4o-mini,0,0,5305,ok,,0.0,33db30624bf3104e
2026-03-03T12:03:38.115230+00:00,f8fbae7f,sess_mmak2dok0z33z,/api/chat/stream,info_query,dcb4d66a6b47,0,26,26,"[""murano"", ""blumar_hills"", ""clubtown"", ""horizon""]",gpt-4o-mini,0,0,3679,ok,,0.0,0616219e79b3cce9
2026-03-03T12:04:14.700208+00:00,521f58cd,sess_mmak2dok0z33z,/api/chat/stream,info_query,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""clubtown"", ""murano"", ""waterside""]",gpt-4o-mini,0,0,4667,ok,,0.0,a737a500c076270e
2026-03-03T12:04:31.166996+00:00,b8bbc836,sess_mmak2dok0z33z,/api/chat/stream,info_query,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""clubtown"", ""murano"", ""promenade_new_cairo""]",gpt-4o-mini,0,0,4484,ok,,0.0,6385a410bd63ccfd
2026-03-03T12:06:29.211526+00:00,840bfd98,sess_mmak2dok0z33z,/api/chat/stream,info_query,dcb4d66a6b47,0,26,26,"[""blumar_hills"", ""floating_islands"", ""waterside"", ""murano""]",gpt-4o-mini,0,0,4749,ok,,0.0,fbc474591d763959
